Model,Engine,Type
ETS,R Forecast,State Space
TBATS,R Forecast,State Space
N-BEATS,GluonTS,Neural Net
WaveNet,GluonTS,Neural Net
Theta,R Forecast,State Space
FFNN,GluonTS,Neural Net
DeepAR,GluonTS,Neural Net
PR,R Stats,Linear Regression
(DHR-)ARIMA,R Forecast,State Space
CatBoost,R Catboost,Ensemble
Transformer,GluonTS,Neural Net
SES,R Forecast,Statistical
Prophet,Meta,Statistical
Informer*,?,Neural Net
N-BEATS global,NNTS,Neural Net
N-HITS,NNTS,Neural Net
DLinear independent,NNTS,Linear Regression
DLinear multivariate,NNTS,Linear Regression
NLinear independent,NNTS,Linear Regression
NLinear multivariate,NNTS,Linear Regression
Autoformer,NNTS,Neural Net
PatchTST independent,NNTS,Neural Net
PatchTST multivariate,NNTS,Neural Net
TiDE,NNTS,Neural Net
TimesFM(ZS) foundational,timesfm,Neural Net
