Dataset,SES,Theta,TBATS,ETS,(DHR-)ARIMA,PR,CatBoost,FFNN,DeepAR,N-BEATS,WaveNet,Transformer,Prophet,Informer*,Autoformer,DLinear independent,DLinear multivariate,N-BEATS global,N-HITS,NLinear independent,NLinear multivariate,PatchTST independent,PatchTST multivariate,TiDE,TimesFM(ZS) foundational
Aus. Elecdemand,1.857,1.867,1.174,5.663,2.574,0.78,0.705,1.222,1.591,1.014,1.102,1.113,1.414,,,,,1.094,1.143,,,,,1.217,2.109
Bitcoin,4.327,4.344,4.611,2.718,4.03,2.664,2.888,6.006,6.394,7.254,5.315,8.462,11.089,,,,,6.408,6.066,,,,,,5.366
Carparts,0.897,0.914,0.998,0.925,0.926,0.755,0.853,0.747,0.747,2.836,0.754,0.746,0.876,,1.247,1.403,0.752,0.753,0.748,1.398,1.045,1.142,1.075,0.747,0.852
CIF 2016,1.291,0.997,0.861,0.841,0.929,1.019,1.175,1.053,1.159,0.971,1.8,1.173,1.029,,,,,2.261,1.622,,,,,2.352,1.261
COVID,7.776,7.793,5.719,5.326,6.117,8.731,8.241,5.459,6.895,5.858,7.835,8.941,12.77,,7.221,9.200,5.601,7.911,7.362,6.287,5.176,8.918,8.111,9.069,8.794
Dominick,0.582,0.61,0.722,0.595,0.796,0.98,1.038,0.614,0.54,0.952,0.531,0.531,0.827,,,,,0.511,0.507,,,,,0.550,0.528
Electricity Hourly,4.544,4.545,3.69,6.501,4.602,2.912,2.262,3.2,2.516,1.968,1.606,2.522,2.05,2.682,2.400,1.883,1.880,2.005,2.073,1.891,1.882,2.131,2.138,2.127,2.265
Electricity Weekly,1.536,1.476,0.792,1.526,0.878,0.916,0.815,0.769,1.005,0.8,1.25,1.77,0.924,1.444,0.929,1.096,0.780,0.884,0.986,1.001,0.792,0.996,0.846,0.811,0.924
FRED-MD,0.617,0.698,0.502,0.468,0.533,8.827,0.947,0.601,0.64,0.604,0.806,1.823,1.843,17.839,0.621,0.548,0.627,0.666,0.660,0.499,0.843,0.470,0.573,0.901,0.635
Hospital,0.813,0.761,0.768,0.765,0.787,0.782,0.798,0.84,0.769,0.791,0.779,1.031,0.673,1.221,0.930,0.931,0.800,0.786,0.802,0.857,0.803,0.855,0.809,0.850,0.771
Kaggle Weekly,0.698,0.694,0.622,0.77,0.815,1.021,1.928,0.689,0.758,0.667,0.628,0.888,1.196,,,,,0.613,0.582,,,,,0.720,0.602
KDD,1.645,1.646,1.394,1.787,1.982,1.265,1.233,1.228,1.699,1.6,1.185,1.696,1.186,,,,,1.252,1.194,,,,,1.304,1.361
M1 Monthly,1.379,1.091,1.118,1.074,1.164,1.123,1.209,1.205,1.192,1.168,1.2,2.191,1.712,,,,,1.253,1.257,,,,,1.501,1.223
M1 Quarterly,1.929,1.702,1.694,1.658,1.787,1.892,2.031,1.862,1.833,1.788,1.7,2.772,2.136,,,,,2.543,2.369,,,,,2.777,1.882
