Dataset,model,position,points,MASE
Aus. Elecdemand,SES,13,0.0,1.857
Bitcoin,SES,5,10.0,4.327
Carparts,SES,13,0.0,0.897
CIF 2016,SES,13,0.0,1.291
COVID,SES,12,0.0,7.776
Dominick,SES,8,4.0,0.582
FRED-MD,SES,10,1.0,0.617
Hospital,SES,17,0.0,0.813
Kaggle Weekly,SES,9,2.0,0.698
KDD,SES,12,0.0,1.645
M1 Monthly,SES,14,0.0,1.379
M1 Quarterly,SES,11,0.0,1.929
M1 Yearly,SES,12,0.0,4.938
M3 Monthly,SES,14,0.0,1.091
M3 Other,SES,11,0.0,3.089
M3 Quarterly,SES,13,0.0,1.417
M3 Yearly,SES,9,2.0,3.167
M4 Daily,SES,5,10.0,1.154
M4 Hourly,SES,15,0.0,11.607
M4 Monthly,SES,12,0.0,1.15
M4 Quarterly,SES,13,0.0,1.417
M4 Weekly,SES,13,0.0,0.587
NN5 Weekly,SES,15,0.0,0.903
Pedestrians,SES,12,0.0,0.957
Rideshare,SES,5,10.0,3.014
Saugeen,SES,3,15.0,1.426
Solar 10 Mins,SES,7,6.0,1.451
Solar Weekly,SES,13,0.0,1.215
Sunspot,SES,15,0.0,0.128
Temp. Rain,SES,17,0.0,1.347
Tourism Monthly,SES,17,0.0,3.306
Tourism Quarterly,SES,17,0.0,3.21
Tourism Yearly,SES,6,8.0,3.253
Traffic Hourly,SES,20,0.0,1.922
Traffic Weekly,SES,7,6.0,1.116
Vehicle Trips,SES,3,15.0,1.224
Weather,SES,8,4.0,0.677
Aus. Elecdemand,Theta,14,0.0,1.867
Bitcoin,Theta,6,8.0,4.344
Carparts,Theta,14,0.0,0.914
CIF 2016,Theta,5,10.0,0.997
COVID,Theta,13,0.0,7.793
Dominick,Theta,10,1.0,0.61
FRED-MD,Theta,17,0.0,0.698
Hospital,Theta,2,18.0,0.761
Kaggle Weekly,Theta,8,4.0,0.694
KDD,Theta,13,0.0,1.646
M1 Monthly,Theta,2,18.0,1.091
M1 Quarterly,Theta,4,13.0,1.702
M1 Yearly,Theta,3,15.0,4.191
M3 Monthly,Theta,2,18.0,0.864
M3 Other,Theta,5,10.0,2.271
M3 Quarterly,Theta,1,25.0,1.117
M3 Yearly,Theta,1,25.0,2.774
M4 Daily,Theta,4,13.0,1.153
M4 Hourly,Theta,14,0.0,11.524
M4 Monthly,Theta,3,15.0,0.97
M4 Quarterly,Theta,6,8.0,1.231
M4 Weekly,Theta,8,4.0,0.546
NN5 Daily,Theta,4,13.0,0.885
NN5 Weekly,Theta,13,0.0,0.885
Pedestrians,Theta,13,0.0,0.958
Rideshare,Theta,9,2.0,3.641
Saugeen,Theta,2,18.0,1.425
Solar 10 Mins,Theta,10,1.0,1.452
Solar Weekly,Theta,14,0.0,1.224
Sunspot,Theta,15,0.0,0.128
Temp. Rain,Theta,18,0.0,1.368
Tourism Monthly,Theta,10,1.0,1.649
Tourism Quarterly,Theta,7,6.0,1.661
Tourism Yearly,Theta,3,15.0,3.015
Traffic Hourly,Theta,20,0.0,1.922
Traffic Weekly,Theta,10,1.0,1.121
US Births,Theta,14,0.0,2.138
Vehicle Trips,Theta,4,13.0,1.244
Weather,Theta,14,0.0,0.749
Aus. Elecdemand,TBATS,8,4.0,1.174
Bitcoin,TBATS,7,6.0,4.611
Carparts,TBATS,17,0.0,0.998
CIF 2016,TBATS,2,18.0,0.861
COVID,TBATS,5,10.0,5.719
